t,z,V,Mach,alpha,q_total,T_surface,T_bulk,thickness,TPS_failed
2.23,119865,7800.31,26.4356,0.00911107,818928,311.434,300,0.0795439,0
2.24,119864,7800.31,26.4356,0.00912318,818968,311.486,300,0.0795419,0
2.25,119864,7800.31,26.4356,0.00913529,819009,311.537,300,0.0795398,0
2.26,119863,7800.31,26.4356,0.0091474,819049,311.589,300,0.0795378,0
2.27,119862,7800.31,26.4356,0.00915951,819090,311.64,300,0.0795357,0
2.28,119861,7800.31,26.4356,0.00917163,819131,311.691,300,0.0795337,0
2.29,119861,7800.31,26.4356,0.00918374,819172,311.743,300,0.0795317,0
2.3,119860,7800.31,26.4356,0.00919585,819212,311.794,300,0.0795296,0
2.31,119859,7800.31,26.4356,0.00920796,819253,311.846,300,0.0795276,0
2.32,119859,7800.31,26.4356,0.00922007,819294,311.897,300,0.0795255,0
2.33,119858,7800.31,26.4356,0.00923218,819335,311.949,300,0.0795235,0
2.34,119857,7800.31,26.4356,0.0092443,819376,312,300,0.0795214,0
2.35,119856,7800.31,26.4356,0.00925641,819417,312.052,300,0.0795194,0
2.36,119856,7800.32,26.4357,0.00926852,819458,312.103,300,0.0795173,0
2.37,119855,7800.32,26.4357,0.00928063,819499,312.155,300,0.0795153,0
2.38,119854,7800.32,26.4357,0.00929274,819541,312.206,300,0.0795132,0
2.39,119854,7800.32,26.4357,0.00930485,819582,312.258,300,0.0795112,0
2.4,119853,7800.32,26.4357,0.00931697,819623,312.309,300,0.0795091,0
2.41,119852,7800.32,26.4357,0.00932908,819665,312.361,300,0.0795071,0
2.42,119851,7800.32,26.4357,0.00934119,819706,312.412,300,0.079505,0
2.43,119851,7800.32,26.4357,0.0093533,819748,312.464,300,0.079503,0
2.44,119850,7800.32,26.4357,0.00936541,819789,312.515,300,0.0795009,0
2.45,119849,7800.32,26.4357,0.00937752,819831,312.567,300,0.0794989,0
2.46,119848,7800.32,26.4357,0.00938964,819873,312.618,300,0.0794968,0
2.47,119848,7800.32,26.4357,0.00940175,819914,312.67,300,0.0794948,0
2.48,119847,7800.32,26.4357,0.00941386,819956,312.722,300,0.0794927,0
2.49,119846,7800.33,26.4357,0.00942597,819998,312.773,300,0.0794907,0
2.5,119845,7800.33,26.4357,0.00943808,820040,312.825,300,0.0794887,0
2.51,119845,7800.33,26.4357,0.0094502,820082,312.876,300,0.0794866,0
2.52,119844,7800.33,26.4357,0.00946231,820124,312.928,300,0.0794846,0
2.53,119843,7800.33,26.4357,0.00947442,820166,312.979,300,0.0794825,0
2.54,119843,7800.33,26.4357,0.00948653,820208,313.031,300,0.0794805,0
2.55,119842,7800.33,26.4357,0.00949864,820250,313.082,300,0.0794784,0
2.56,119841,7800.33,26.4357,0.00951075,820292,313.134,300,0.0794764,0
2.57,119840,7800.33,26.4357,0.00952287,820334,313.186,300,0.0794743,0
2.58,119840,7800.33,26.4357,0.00953498,820377,313.237,300,0.0794723,0
2.59,119839,7800.33,26.4357,0.00954709,820419,313.289,300,0.0794702,0
2.6,119838,7800.33,26.4357,0.0095592,820462,313.34,300,0.0794682,0
2.61,119837,7800.34,26.4357,0.00957131,820504,313.392,300,0.0794661,0
2.62,119837,7800.34,26.4357,0.00958342,820547,313.443,300,0.0794641,0
2.63,119836,7800.34,26.4357,0.00959554,820589,313.495,300,0.079462,0
2.64,119835,7800.34,26.4357,0.00960765,820632,313.547,300,0.07946,0
